id gender height weight age
1363 M 175 79 41
1364 F 160 45 32
1365 F 171 45 38
1366 M 166 66 29
1367 M 166 86 31
1368 M 180 62 32
1369 M 174 60 37
1370 F 172 45 36
1371 M 175 66 33
1372 M 161 89 25
1373 M 166 72 35
1374 M 172 66 31
1375 M 164 67 32
1376 M 187 89 43
1377 F 163 48 32
1378 F 160 46 36
1379 M 165 69 46
1380 F 166 48 26
1381 F 166 46 24
1382 M 182 77 29
1383 F 156 49 37
1384 F 159 49 29
1385 F 164 48 30
1386 M 182 83 26
1387 F 167 47 37
1388 M 189 66 34
1389 M 177 71 25
1390 F 158 45 38
1391 M 164 86 26
1392 M 174 83 25
1393 M 180 71 33
1394 F 169 45 23
1395 M 179 61 33
1396 M 186 86 39
1397 M 179 71 42
1398 F 159 47 34
1399 F 163 49 30
1400 M 161 71 31
1401 M 174 89 36
1402 M 165 70 48
1403 M 161 82 33
1404 M 180 79 35
1405 M 162 62 47
1406 M 171 63 26
1407 M 165 68 42
1408 M 162 89 27
1409 M 173 77 28
1410 M 186 62 37
1411 F 173 46 29
1412 M 182 71 39
1413 M 189 72 37
1414 M 183 73 26
1415 M 188 75 40
1416 M 175 61 29
1417 M 189 76 33
1418 M 179 85 29
1419 F 167 49 23
1420 M 166 82 45
1421 M 177 83 48
1422 F 173 49 21
1423 M 176 66 48
1424 M 174 62 49
1425 M 163 89 33
1426 F 164 47 34
1427 M 180 74 32
1428 M 169 69 30
1429 M 169 64 33
1430 M 187 66 40
1431 F 165 49 25
1432 M 179 67 39
1433 F 163 48 37
1434 M 169 88 38
1435 M 184 72 43
1436 M 184 81 37
1437 M 182 63 34
1438 M 179 68 37
1439 F 157 45 39
1440 M 164 69 40
1441 M 182 70 45
1442 M 176 61 38
1443 M 172 88 28
1444 M 181 66 37
1445 M 189 89 30
1446 M 182 83 44
1447 M 160 78 34
1448 M 182 89 42
1449 M 164 68 27
1450 F 157 49 30
1451 F 165 45 35
1452 M 172 65 30
1453 F 162 48 23
1454 M 184 62 29
1455 M 162 81 49
1456 F 159 48 33
1457 M 164 74 42
1458 M 163 68 27
1459 M 161 89 41
1460 M 179 77 32
1461 M 177 87 45
1462 M 179 78 45
1463 M 173 67 39
1464 M 161 70 31
1465 F 163 46 20
1466 M 188 74 42
1467 M 168 84 42
1468 M 186 81 38
1469 F 170 47 36
1470 M 174 60 44
1471 F 171 47 36
1472 M 180 76 42
1473 M 189 65 32
1474 F 167 45 35
1475 F 158 46 25
1476 M 177 89 39
1477 M 161 72 36
1478 M 188 61 41
1479 F 170 45 24
1480 F 173 45 26
1481 M 168 82 49
1482 F 167 46 20
1483 F 173 46 21
1484 M 189 72 35
1485 F 174 49 36
1486 M 173 79 35
1487 M 173 75 31
1488 M 161 74 25
1489 M 185 65 42
1490 M 171 72 31
1491 M 162 67 48
1492 M 172 70 31
1493 F 170 47 29
1494 M 177 77 25
1495 M 180 61 29
1496 M 165 69 45
1497 M 163 87 28
1498 M 168 73 25
1499 M 173 87 30
1500 M 162 81 41
1501 M 175 85 39
1502 F 172 46 26
1503 F 173 49 26
1504 M 174 85 44
1505 M 168 79 49
1506 M 183 71 28
1507 F 170 46 33
1508 F 169 49 29
1509 M 163 69 30
1510 F 162 46 30
1511 F 156 46 26
1512 M 160 75 49
1513 F 161 47 29
1514 M 160 70 47
1515 F 167 45 35
1516 M 163 77 36
1517 M 183 84 43
1518 M 184 77 25
1519 M 187 87 32
1520 F 161 47 23
1521 M 167 88 34
1522 F 174 48 32
1523 M 174 75 34
1524 M 185 80 31
1525 M 181 67 34
1526 M 183 77 28
1527 M 169 85 46
1528 F 170 47 34
1529 F 168 49 31
1530 M 168 74 30
1531 M 166 79 25
1532 M 168 88 48
1533 F 167 45 23
1534 M 179 61 30
1535 M 174 78 47
1536 M 161 73 48
1537 M 160 77 47
1538 M 182 74 30
1539 M 189 85 30
1540 M 180 81 25
1541 M 170 87 47
1542 M 169 85 44
1543 F 168 46 38
1544 M 185 61 26
1545 F 167 45 29
1546 M 168 60 31
1547 M 180 77 43
1548 M 184 78 25
1549 F 169 45 30
1550 M 186 83 26
1551 M 188 76 32
1552 M 187 76 40
1553 M 188 67 43
1554 M 166 63 28
1555 M 175 80 25
1556 M 176 76 31
1557 M 167 79 40
1558 F 164 48 35
1559 F 168 48 21
1560 M 186 74 37
1561 M 162 68 42
1562 F 164 49 23
1563 M 163 69 40
1564 M 166 66 31
1565 F 167 46 29
1566 M 181 74 49
1567 M 162 78 41
1568 F 165 49 36
1569 M 177 86 37
1570 M 173 66 47
1571 F 164 49 35
1572 F 172 45 36
1573 M 189 71 34
1574 M 164 78 46
1575 M 175 60 28
1576 F 174 48 37
1577 M 185 64 32
1578 M 185 82 46
1579 M 189 74 33
1580 F 173 48 35
1581 M 179 65 32
1582 M 185 61 46
1583 M 187 86 34
1584 M 173 74 49
1585 M 172 77 43
1586 F 165 46 22
1587 M 189 63 25
1588 M 161 67 28
1589 M 167 69 36
1590 M 177 65 37
1591 M 176 71 32
1592 M 167 68 43
1593 M 167 86 30
1594 F 160 46 21
1595 M 161 72 26
1596 M 187 77 47
1597 F 166 48 32
1598 F 162 45 25
1599 M 185 63 40
1600 M 175 64 34
1601 M 176 80 29
1602 F 162 48 26
1603 M 182 74 30
1604 M 181 62 28
1605 M 183 63 30
1606 M 172 82 26
1607 F 168 49 34
1608 M 185 85 32
1609 M 163 72 43
1610 M 176 85 34
1611 M 189 66 28
1612 F 159 49 35
1613 M 164 74 29
1614 F 158 49 38
1615 F 156 49 39
1616 F 168 46 20
1617 M 168 80 30
1618 M 166 65 40
1619 F 161 45 29
1620 M 188 65 34
1621 M 183 74 43
1622 M 178 88 30
1623 F 168 49 25
1624 M 172 82 44
1625 M 176 84 38
1626 M 175 79 42
1627 F 157 48 38
1628 M 167 81 31
1629 M 179 70 42
1630 M 181 81 34
1631 M 171 70 32
1632 M 173 70 40
1633 M 166 77 29
1634 F 162 49 34
1635 F 159 49 38
1636 M 182 79 41
1637 M 182 84 42
1638 F 165 48 21
1639 M 180 75 33
1640 F 161 47 31
1641 M 162 79 30
1642 M 182 88 38
1643 F 156 48 34
1644 M 172 64 29
1645 M 171 88 49
1646 M 180 73 29
1647 M 161 64 48
1648 M 188 65 39
1649 F 168 47 24
1650 F 166 45 28
1651 M 162 74 45
1652 M 176 80 38
1653 M 170 62 42
1654 F 163 47 25
1655 F 160 47 34
1656 M 184 67 42
1657 M 164 86 26
1658 M 178 66 39
1659 M 169 81 43
1660 M 183 74 37
1661 F 158 46 28
1662 M 161 85 34
1663 M 161 86 49
1664 M 163 65 43
1665 M 175 71 41
1666 F 172 46 28
1667 M 171 75 33
1668 M 185 69 44
1669 M 166 63 29
1670 M 161 61 43
1671 M 161 78 42
1672 M 162 66 30
1673 F 156 47 32
1674 F 156 48 21
1675 F 161 47 27
1676 M 164 82 26
1677 M 163 84 25
1678 M 166 81 47
1679 F 165 45 36
1680 M 167 83 35
1681 M 181 88 45
1682 F 158 49 35
1683 M 161 60 42
1684 F 173 49 36
1685 M 181 69 44
1686 M 169 69 44
1687 M 179 87 48
1688 M 180 67 48
1689 M 166 66 41
1690 M 184 87 39
1691 M 176 84 40
1692 F 163 47 33
1693 M 176 60 36
1694 M 174 72 42
1695 M 171 80 35
1696 M 188 67 39
1697 M 165 73 46
1698 F 163 47 24
1699 M 181 76 29
1700 F 157 47 39
1701 M 186 76 27
1702 M 167 88 44
1703 F 164 49 36
1704 M 162 85 36
1705 F 164 47 26
1706 F 174 49 39
1707 M 188 62 42
1708 M 188 87 31
1709 M 179 86 36
1710 M 186 85 34
1711 M 183 64 41
1712 M 166 66 33
1713 F 157 48 36
1714 F 169 48 34
1715 M 173 78 32
1716 M 168 64 26
1717 M 187 74 34
1718 M 180 85 28
1719 M 171 83 44
1720 F 164 48 38
1721 F 161 48 30
1722 F 161 48 21
1723 F 160 45 35
1724 M 177 69 35
1725 M 182 69 25
1726 F 166 49 34
1727 F 161 45 20
1728 M 185 66 27
1729 M 160 76 48
1730 M 161 88 33
1731 M 188 67 40
1732 M 185 68 38
1733 M 167 64 45
1734 F 158 46 35
1735 M 169 71 34
1736 M 180 79 40
1737 M 160 60 29
1738 M 175 63 48
1739 M 163 84 45
1740 M 170 85 29
1741 M 180 67 29
1742 M 172 72 25
1743 M 177 83 47
1744 F 157 45 31
1745 F 165 45 33
1746 M 170 81 42
1747 F 171 47 23
1748 F 173 47 28
1749 M 180 80 31
1750 F 172 49 31
1751 M 164 76 44
1752 F 171 49 35
1753 M 164 69 25
1754 M 161 64 30
1755 F 161 49 29
1756 M 187 77 42
1757 F 172 48 36
1758 M 185 87 34
1759 F 167 45 25
1760 M 185 62 41
1761 F 160 46 38
1762 M 172 61 48
1763 M 170 60 35
1764 F 167 49 39
1765 M 187 62 36
1766 M 188 86 26
1767 M 175 83 45
1768 M 174 82 49
1769 F 169 47 27
1770 M 163 78 26
1771 F 170 46 22
1772 F 161 48 39
1773 M 164 70 30
1774 M 182 84 29
1775 M 161 83 49
1776 F 155 49 22
1777 M 184 61 47
1778 M 165 66 45
1779 M 176 75 38
1780 M 172 71 25
1781 F 163 46 29
1782 M 184 63 29
1783 M 181 71 41
1784 M 162 88 27
1785 M 168 86 45
1786 M 178 82 30
1787 M 183 89 29
1788 M 186 60 35
1789 F 158 49 24
1790 M 170 75 25
1791 M 160 81 47
1792 F 162 49 21
1793 F 165 45 29
1794 M 162 80 44
1795 M 181 71 43
1796 F 170 46 21
1797 M 176 86 26
1798 M 167 72 46
1799 M 175 66 44
1800 M 174 82 32
1801 M 162 78 46
1802 F 158 49 31
1803 M 171 60 31
1804 M 187 63 48
1805 M 177 69 43
1806 F 160 46 26
1807 M 188 80 45
1808 F 166 48 32
1809 M 169 69 49
1810 F 166 49 21
1811 F 162 45 26
1812 M 184 82 44
1813 M 172 70 47
1814 M 174 84 37
1815 M 173 64 49
1816 M 179 85 26
1817 F 170 45 35
1818 M 187 70 28
1819 M 182 74 34
1820 F 164 45 37
1821 F 167 48 26
1822 F 165 48 23
1823 F 170 49 28
1824 F 164 45 20
1825 M 161 88 27
1826 M 168 72 46
1827 F 160 47 37
1828 F 156 45 32
1829 M 189 67 36
1830 F 159 47 30
1831 M 174 79 26
1832 M 188 81 43
1833 M 182 72 28
1834 M 173 64 30
1835 F 169 46 31
1836 M 161 74 31
1837 M 180 85 41
1838 F 168 46 38
1839 F 163 49 25
1840 M 160 84 48
1841 F 172 46 36
1842 M 166 74 36
1843 M 173 65 32
1844 F 172 45 24
1845 F 158 47 29
1846 M 185 77 27
1847 M 189 82 32
1848 F 167 46 32
1849 F 168 47 26
1850 M 172 88 32
1851 M 171 74 36
1852 F 167 48 37
1853 M 188 81 49
1854 F 172 49 26
1855 F 159 45 22
1856 M 166 67 48
1857 M 176 66 28
1858 M 176 70 48
1859 F 172 46 20
1860 M 168 63 26
1861 M 171 82 37
1862 F 170 46 36
1863 M 164 80 38
1864 M 177 66 26
1865 M 170 87 39
1866 M 165 67 33
1867 M 163 74 31
1868 F 173 49 36
1869 F 161 46 26
1870 F 160 49 33
1871 F 173 48 23
1872 F 172 48 24
1873 M 169 64 36
1874 M 186 74 49
1875 F 165 45 26
1876 M 173 71 37
1877 M 175 61 38
1878 F 174 48 20
1879 F 163 46 30
1880 M 180 68 35
1881 F 170 47 37
1882 M 189 84 34
1883 M 178 74 26
1884 M 187 62 49
1885 F 167 49 27
1886 F 156 46 23
1887 M 167 60 46
1888 M 183 62 45
1889 F 166 45 20
1890 M 177 86 41
1891 M 189 69 28
1892 M 176 60 35
1893 M 176 73 37
1894 M 178 85 32
1895 M 187 73 29
1896 M 171 84 39
1897 M 177 87 41
1898 M 171 86 28
1899 M 163 81 43
1900 F 171 46 23
1901 F 170 45 21
1902 M 175 89 40
1903 F 155 45 38
1904 F 156 46 34
1905 F 158 45 24
1906 M 189 62 46
1907 M 179 80 36
1908 M 160 88 35
1909 M 170 81 45
1910 M 179 84 47
1911 M 177 69 39
1912 F 165 48 35
1913 M 162 67 35
1914 M 165 81 38
1915 M 161 67 45
1916 F 155 48 25
1917 M 180 73 35
1918 M 189 84 33
1919 M 160 62 42
1920 M 186 81 37
1921 M 164 88 35
1922 M 164 84 30
1923 M 170 83 34
1924 M 175 72 26
1925 M 185 77 25
1926 M 176 70 45
1927 M 188 67 48
1928 M 177 68 37
1929 F 163 48 32
1930 M 171 65 46
1931 F 157 47 33
1932 M 181 85 41
1933 M 172 72 32
1934 M 177 75 32
1935 M 163 78 46
1936 F 164 48 22
1937 M 179 60 45
1938 M 177 71 42
1939 M 166 86 42
1940 F 171 49 25
1941 M 187 67 46
1942 M 163 68 31
1943 M 167 78 44
1944 M 163 60 43
1945 M 177 72 34
1946 M 170 86 32
1947 F 167 49 32
1948 M 170 68 27
1949 F 168 46 30
1950 M 174 68 35
1951 M 173 80 36
1952 M 172 88 39
1953 F 163 45 39
1954 M 179 79 49
1955 M 162 69 37
1956 M 185 63 44
1957 F 160 47 35
1958 M 185 65 44
1959 F 166 49 36
1960 F 159 49 30
1961 F 174 47 26
1962 M 166 73 47
1963 F 163 46 34
1964 M 184 85 28
1965 M 172 87 40
1966 M 162 65 48
1967 M 177 85 29
1968 M 184 87 37
1969 F 155 46 24
1970 M 174 63 49
1971 F 171 45 25
1972 F 174 45 32
1973 M 165 76 48
1974 F 166 47 27
1975 F 162 45 35
1976 M 189 60 31
1977 M 171 84 38
1978 M 166 88 45
1979 M 169 82 41
1980 F 166 49 25
1981 M 164 80 49
1982 F 168 46 36
1983 M 174 71 30
1984 M 177 75 35
1985 M 163 84 40
1986 M 173 68 29
1987 F 159 49 21
1988 M 170 78 42
1989 M 178 86 41
1990 F 168 47 20
1991 M 171 83 47
1992 F 158 46 36
1993 M 178 61 40
1994 M 169 88 39
1995 F 160 48 32
1996 M 167 75 48
1997 M 160 62 47
1998 M 188 80 25
1999 M 183 74 30
2000 M 173 69 32
2001 F 157 47 25
2002 M 182 89 47
2003 M 165 88 44
2004 M 188 60 29
2005 M 182 75 32
2006 F 171 45 35
2007 M 176 69 46
2008 F 158 47 30
2009 F 156 49 22
2010 M 166 70 47
2011 M 184 65 32
2012 M 181 80 30
2013 M 173 65 36
2014 F 157 48 35
2015 M 172 83 35
2016 M 174 66 46
2017 M 189 61 41
2018 F 168 48 24
2019 F 163 48 30
2020 M 179 85 42
2021 M 166 64 33
2022 F 174 48 23
2023 F 157 46 29
2024 M 177 62 30
2025 M 188 88 44
2026 M 165 67 40
2027 M 180 83 41
2028 M 186 75 49
2029 M 171 86 39
2030 M 187 66 33
2031 F 170 48 30
2032 M 179 79 26
2033 F 163 49 32
2034 F 156 47 27
2035 M 174 86 42
2036 M 161 88 49
2037 F 160 48 30
2038 M 178 60 43
2039 M 185 70 30
2040 M 184 77 26
2041 F 156 46 27
2042 M 165 73 29
2043 F 167 47 20
2044 M 186 64 45
2045 F 162 47 24
2046 M 165 66 48
2047 F 167 45 30
2048 M 177 66 39
2049 M 179 69 38
2050 M 169 88 25
2051 M 187 80 42
2052 F 165 48 34
2053 F 161 48 33
2054 M 163 86 26
2055 M 186 65 33
2056 M 184 66 45
2057 M 176 79 33
2058 F 172 46 29
2059 F 160 47 31
2060 M 183 76 33
2061 M 176 82 31
2062 F 158 47 28
2063 M 176 63 29
2064 M 177 74 49
2065 F 167 45 25
2066 M 179 68 39
2067 M 173 89 35
2068 M 188 71 25
2069 F 158 45 32
2070 F 164 49 37
2071 F 158 45 23
2072 M 173 65 45
2073 M 189 72 35
2074 F 161 45 39
2075 M 161 68 47
2076 M 188 66 36
2077 F 174 48 22
2078 M 182 86 47
2079 M 165 81 32
2080 M 170 72 45
2081 M 183 89 27
2082 F 161 45 20
2083 M 176 82 25
2084 F 170 47 31
2085 F 172 46 23
2086 M 189 85 43
2087 F 163 48 37
2088 M 179 68 25
2089 M 180 63 46
2090 M 171 80 32
2091 F 170 48 37
2092 M 160 87 46
2093 F 157 48 36
2094 F 167 47 39
2095 M 178 72 40
2096 F 160 45 37
2097 F 167 48 36
2098 M 178 84 37
2099 F 163 46 28
2100 M 163 69 25
2101 F 167 46 39
2102 M 162 66 38
2103 M 179 62 40
2104 M 173 88 40
2105 M 176 64 26
2106 M 182 80 36
2107 F 169 49 32
2108 M 170 67 37
2109 M 161 82 48
2110 M 178 68 33
2111 M 184 70 25
2112 M 184 81 49
2113 F 160 48 29
2114 M 169 66 32
2115 F 158 45 34
2116 M 182 68 44
2117 M 169 79 31
2118 F 165 47 35
2119 M 177 68 26
2120 M 167 79 48
2121 M 188 74 41
2122 F 158 49 34
2123 M 166 87 40
2124 F 170 49 35
2125 F 167 47 24
2126 M 165 70 39
2127 F 163 45 21
2128 M 178 66 43
2129 M 165 74 43
2130 F 174 46 28
2131 M 177 65 37
2132 M 176 65 26
2133 F 155 45 34
2134 M 169 66 48
2135 F 164 49 24
2136 M 166 88 44
2137 M 167 73 26
2138 M 163 60 25
2139 M 177 75 37
2140 F 160 49 20
2141 M 173 86 46
2142 F 165 45 37
2143 M 164 85 32
2144 M 169 63 32
2145 M 171 67 38
2146 M 182 71 31
2147 F 163 46 36
2148 M 175 77 45
2149 M 165 75 29
2150 M 180 80 25
2151 M 182 83 26
2152 M 185 84 35
2153 M 184 89 36
2154 M 181 67 27
2155 M 189 86 30
2156 M 189 87 48
2157 M 188 67 41
2158 M 183 64 31
2159 M 169 81 37
2160 M 175 77 28
2161 M 163 63 49
2162 F 161 46 21
2163 M 163 89 28
2164 M 172 83 31
2165 F 171 48 38
2166 M 178 77 37
2167 M 188 63 37
2168 M 183 62 38
2169 F 173 49 37
2170 F 157 46 26
2171 M 185 82 49
2172 M 171 68 41
2173 M 188 74 27
2174 F 172 48 34
2175 F 166 47 28
2176 M 166 86 28
2177 M 187 62 41
2178 M 166 70 36
2179 F 160 47 34
2180 M 187 74 43
2181 M 166 84 47
2182 M 167 76 26
2183 M 177 74 30
2184 F 165 48 34
2185 M 175 88 29
2186 M 173 86 29
2187 M 172 71 49
2188 M 162 83 45
2189 M 180 68 27
2190 M 169 65 34
2191 F 173 48 23
2192 M 166 84 29
2193 M 169 73 44
2194 F 160 46 35
2195 M 187 62 30
2196 M 163 83 47
2197 M 161 87 45
2198 M 165 60 29
2199 M 182 78 35
2200 M 185 60 29
2201 M 161 68 44
2202 M 170 89 31
2203 M 160 65 42
2204 M 187 79 42
2205 M 179 61 38
2206 F 172 45 29
2207 M 176 77 45
2208 M 173 68 36
2209 M 173 64 32
2210 M 172 84 38
2211 F 171 47 29
2212 M 168 76 43
2213 F 157 47 23
2214 M 178 66 37
2215 M 168 61 37
2216 M 161 64 25
2217 M 183 64 26
2218 M 172 66 38
2219 F 162 47 28
2220 M 178 80 26
2221 M 176 86 26
2222 M 165 75 44
2223 F 157 46 31
2224 M 170 70 43
2225 M 170 74 45
2226 M 169 86 30
2227 M 183 61 29
2228 M 163 83 45
2229 M 161 85 37
2230 F 169 45 21
2231 M 164 62 32
2232 F 158 47 24
2233 F 161 45 30
2234 M 187 75 31
2235 F 171 45 28
2236 F 171 45 32
2237 M 178 62 46
2238 F 157 45 33
2239 M 171 80 43
2240 M 178 89 39
2241 M 176 71 48
2242 F 170 47 20
2243 F 166 46 36
2244 M 176 74 35
2245 M 161 80 29
2246 M 171 85 37
2247 M 185 82 28
2248 M 176 68 44
2249 M 171 89 46
2250 M 161 66 30
2251 M 188 71 47
2252 F 155 48 30
2253 F 156 48 23
2254 M 163 78 27
2255 F 157 48 35
2256 F 157 46 34
2257 F 159 45 30
2258 F 164 49 33
2259 M 187 62 35
2260 M 170 85 45
2261 M 177 85 40
2262 F 171 45 32
2263 M 184 66 44
2264 M 184 72 48
2265 M 164 76 45
2266 M 165 83 44
2267 M 181 65 49
2268 F 159 46 30
2269 M 175 80 39
2270 M 172 68 30
2271 F 165 49 39
2272 F 169 45 35
2273 M 180 63 41
2274 M 166 64 28
2275 F 155 49 23
2276 M 175 79 36
2277 F 169 46 39
2278 M 186 66 41
2279 M 186 84 37
2280 M 186 76 37
2281 F 171 47 39
2282 M 176 85 37
2283 F 174 46 22
2284 F 168 48 36
2285 M 180 71 29
2286 M 169 78 43
2287 M 189 76 47
2288 F 158 47 24
2289 M 167 66 49
2290 M 178 73 47
2291 M 186 84 34
2292 M 172 65 33
2293 M 183 71 26
2294 M 174 78 30
2295 M 167 74 25
2296 M 178 69 29
2297 M 170 72 49
2298 F 174 45 31
2299 F 170 49 28
2300 F 157 47 32
2301 M 171 63 26
2302 F 159 45 33
2303 M 182 73 35
2304 M 163 87 49
2305 M 165 81 38
2306 M 171 60 41
2307 M 187 75 35
2308 M 175 78 32
2309 F 165 47 38
2310 M 178 77 43
2311 M 170 83 25
2312 M 166 75 46
2313 M 175 79 28
2314 M 166 84 43
2315 M 182 78 46
2316 F 156 47 39
2317 M 176 65 35
2318 M 181 79 44
2319 M 161 84 30
2320 M 188 84 31
2321 F 174 47 31
2322 M 172 80 30
2323 F 172 45 37
2324 M 185 71 45
2325 F 162 46 32
2326 M 170 68 26
2327 M 172 87 45
2328 M 170 64 46
2329 M 170 73 39
2330 M 167 66 37
2331 M 168 71 36
2332 M 167 86 32
2333 M 163 81 40
2334 F 163 46 21
2335 F 168 49 39
2336 F 165 45 33
2337 M 173 73 26
2338 M 184 88 28
2339 M 176 66 49
2340 M 179 82 41
2341 M 179 81 38
2342 M 183 61 31
2343 M 177 81 42
2344 F 159 47 37
2345 F 156 46 38
2346 M 173 78 35
2347 M 189 71 27
2348 F 164 49 29
2349 M 187 85 29
2350 M 165 70 36
2351 F 174 48 38
2352 M 178 73 44
2353 F 172 45 35
2354 M 184 82 34
2355 F 167 47 31
2356 F 161 45 32
2357 F 166 45 31
2358 M 166 84 29
2359 M 170 71 36
2360 M 165 76 42
2361 M 182 75 29
2362 M 189 67 47
2363 M 178 80 43
2364 M 171 74 42
2365 M 179 67 28
2366 M 186 89 35
2367 M 185 74 38
2368 M 189 88 39
2369 M 171 63 44
2370 M 164 72 30
2371 M 172 85 38
2372 M 189 75 26
2373 F 161 48 21
2374 M 179 68 32
2375 M 183 80 34
2376 M 186 68 35
2377 M 181 81 26
2378 M 164 66 45
2379 F 159 48 29
2380 M 163 68 44
2381 M 175 68 39
2382 M 175 73 37
2383 M 181 84 43
2384 M 174 62 36
2385 M 162 79 44
2386 M 177 79 25
2387 M 174 68 34
2388 F 168 46 29
2389 M 183 78 35
2390 M 174 82 26
2391 F 167 49 37
2392 M 186 86 47
2393 M 181 85 34
2394 M 183 65 49
2395 M 181 68 31
2396 M 188 67 38
2397 F 159 47 33
2398 M 163 73 46
2399 F 174 45 39
2400 M 173 71 33
2401 M 160 68 46
2402 M 174 68 27
2403 M 176 63 44
2404 M 173 76 40
2405 M 181 61 39
2406 M 168 66 35
2407 M 179 78 28
2408 M 175 61 43
2409 M 163 69 30
2410 F 157 48 38
2411 M 163 66 44
2412 M 188 87 49
2413 M 186 84 38
2414 M 178 87 29
2415 F 167 48 32
2416 F 161 46 37
2417 F 167 48 28
2418 M 171 80 26
2419 F 165 48 24
2420 M 182 69 43
2421 F 162 49 22
2422 M 172 73 31
2423 M 173 60 46
2424 M 182 72 35
2425 M 187 84 32
2426 M 189 81 26
2427 F 172 46 35
2428 F 155 45 29
2429 M 165 65 45
2430 M 177 87 46
2431 M 186 84 41
2432 M 187 62 34
2433 M 178 64 35
2434 M 177 71 37
2435 M 186 77 38
2436 M 185 75 49
2437 M 180 64 26
2438 M 184 83 36
2439 M 173 71 47
2440 M 169 81 33
2441 M 161 60 42
2442 M 188 61 30
2443 M 184 67 35
2444 M 182 87 29
2445 M 168 62 44
2446 F 155 49 34
2447 M 184 65 29
2448 F 172 46 24
2449 F 164 45 25
2450 M 165 63 33
2451 F 173 45 28
2452 M 173 69 26
2453 M 161 83 29
2454 M 161 71 26
2455 F 163 45 26
2456 M 176 69 39
2457 M 188 76 40
2458 F 166 46 32
2459 F 173 46 28
2460 F 174 48 31
2461 M 180 61 27
2462 M 176 75 33
2463 F 158 48 21
2464 F 160 45 21
2465 M 180 77 39
2466 F 173 48 38
2467 M 173 74 41
2468 F 162 46 29
2469 M 167 66 35
2470 F 156 48 24
2471 M 168 85 38
2472 F 158 46 30
2473 M 160 67 35
2474 M 171 77 45
2475 M 161 78 29
2476 F 155 47 28
2477 M 161 87 36
2478 F 174 45 38
2479 F 159 47 22
2480 M 168 66 42
2481 F 165 45 37
2482 F 171 46 38
2483 F 172 48 39
2484 M 182 68 27
2485 M 173 87 39
2486 M 178 78 37
2487 F 159 46 24
2488 F 170 45 33
2489 M 172 73 33
2490 M 187 73 40
2491 M 184 74 48
2492 M 172 71 28
2493 M 174 86 41
2494 M 164 82 41
2495 M 165 68 39
2496 M 180 61 41
2497 M 188 61 36
2498 F 162 45 22
2499 M 169 89 49
2500 M 170 76 36
2501 M 170 62 43
2502 F 170 46 30
2503 M 174 85 29
2504 M 162 76 38
2505 M 161 81 31
2506 M 183 61 32
2507 M 182 63 46
2508 F 166 45 24
2509 F 161 49 28
2510 M 172 64 46
2511 M 184 66 37
2512 F 159 45 34
2513 M 167 72 32
2514 M 163 70 29
2515 M 175 76 27
2516 F 159 47 36
2517 M 165 62 27
2518 F 173 47 36
2519 M 168 67 45
2520 M 187 75 31
2521 M 165 77 33
2522 M 169 75 33
2523 F 157 47 26
2524 F 162 49 37
2525 M 187 69 32
2526 M 164 76 46
2527 M 188 74 35
2528 M 171 88 37
2529 F 169 48 35
2530 F 157 46 32
2531 M 167 82 42
2532 M 174 77 48
2533 F 168 48 30
2534 M 171 64 33
2535 M 182 81 45
2536 F 155 45 28
2537 F 169 46 32
2538 F 159 46 36
2539 M 173 73 36
2540 M 179 88 33
2541 F 168 49 22
2542 M 187 81 42
2543 M 167 71 33
2544 M 182 63 34
2545 M 164 68 38
2546 F 157 46 26
2547 M 171 68 39
2548 M 185 75 48
2549 M 168 65 29
2550 M 185 81 25
2551 M 183 74 36
2552 F 172 45 34
2553 M 189 70 44
2554 F 174 47 28
2555 M 161 73 44
2556 M 180 78 37
2557 M 163 85 42
2558 M 171 67 25
2559 F 173 45 29
2560 M 177 68 27
2561 M 175 70 49
2562 F 165 49 23
2563 F 166 48 20
2564 M 183 68 30
2565 M 184 81 46
2566 F 169 49 34
2567 M 188 75 27
2568 M 180 67 37
2569 M 187 77 37
2570 M 171 82 40
2571 M 187 83 33
2572 F 169 47 32
2573 M 189 66 31
2574 M 172 88 27
2575 M 179 63 40
2576 F 167 47 31
2577 M 160 88 40
2578 F 160 47 23
2579 F 166 49 20
2580 F 166 47 32
2581 M 168 80 48
2582 F 168 45 31
2583 M 176 81 45
2584 M 162 86 48
2585 F 159 46 29
2586 M 173 74 39
2587 M 171 70 39
2588 F 158 46 39
2589 M 176 62 43
2590 M 184 85 38
2591 M 166 78 33
2592 M 185 64 45
2593 F 158 45 24
2594 M 171 80 30
2595 F 169 48 38
2596 F 172 47 26
2597 F 170 48 36
2598 M 173 67 28
2599 F 162 45 26
2600 M 168 63 43
2601 F 159 48 36
2602 M 163 84 34
2603 M 186 83 33
2604 M 164 72 38
2605 M 183 61 40
2606 M 180 73 40
2607 M 183 70 49
2608 M 165 79 33
2609 M 168 73 48
2610 M 165 66 35
2611 M 164 71 45
2612 M 170 78 33
2613 M 186 76 41
2614 F 171 49 39
2615 M 180 74 33
2616 F 171 49 22
2617 M 184 83 25
2618 M 175 83 38
2619 M 173 88 46
2620 F 158 47 22
2621 F 169 45 24
2622 M 173 86 44
2623 M 172 69 36
2624 F 173 49 38
2625 M 177 76 29
2626 M 181 81 33
2627 F 161 45 32
2628 M 188 84 33
2629 M 178 73 31
2630 F 172 47 39
2631 M 176 67 42
2632 F 165 47 20
2633 M 184 66 44
2634 M 173 66 28
